00:000 00:000 AAPL: #[EB|LOG:INIT] 2021-04-06T00:44:51
05:135 00:002 AAPL: #[EB|MBA:OUT] <"-v keepsyms=1 debug=0x100 alcid=1 agdpmod=pikera slide=247 chunklist-security-epoch=0 -chunklist-no-rev2-dev chunklist-security-epoch=0 -chunklist-no-rev2-dev">
05:137 00:002 AAPL: #[EB|KMR] 374128640
05:139 00:001 AAPL: #[EB.CS.CSKSD|+]
05:141 00:002 AAPL: #[EB.CS.CSKSD|!] Err(0xE) <- RT.GV boot-info-payload 8D63D4FE-BD3C-4AAD-881D-86FD974BC1DF
05:143 00:001 AAPL: #[EB|WL] 0 0 0x01 0x01   6 0x0E
05:145 00:001 AAPL: #[EB.CS.LFC|+]
05:147 00:002 AAPL: #[EB.LD.LF|IN] 0 1 <"System\\Library\\Caches\\com.apple.corestorage\\EncryptedRoot.plist.wipekey"> <"0">
05:152 00:004 AAPL: #[EB.FS.AGSVH|PU] 51F93570-FFBC-4E6E-913D-ED18CB0D6E7B
05:154 00:002 AAPL: #[EB.FS.AGSVH|!] Err(0xE) <- BS.LocHB 59D76AE4-37E3-55A7-B460-EF13D46E6020
05:156 00:001 AAPL: #[EB.G.CS|-?] Ok(0)
05:158 00:001 AAPL: #[EB.LD.LF|IN] 0 1 <"<null string>"> <"1">
05:161 00:003 AAPL: #[EB.B.SBS|SZ] 739896
05:166 00:004 AAPL: #[EB|B:SHA] <4864e70b6b49cebb543fd0a4dd82eddb4c02bb99>
05:168 00:002 AAPL: #[EB.WL.PWLFNV|!] Err(0xE) <- RT.GV wake-failure 7C436110-AB2A-4BBB-A880-FE41995C9F82
05:170 00:001 AAPL: #[EB.WL.DT|!] Err(0xE) <- EB.WL.PWLFNV
05:171 00:001 AAPL: #[EB.WL.PWLFRTC|NONE]
05:173 00:001 AAPL: #[EB.WL.DT|!] Err(0xE) <- EB.WL.PWLFRTC
05:176 00:002 AAPL: #[EB.LD.LKC|D] <"boot\System\Library\KernelCollections\BootKernelExtensions.kc.development">
05:178 00:002 AAPL: #[EB.LD.LF|IN] 0 1 <"boot\\System\\Library\\KernelCollections\\BootKernelExtensions.kc.development"> <"0">
05:180 00:002 AAPL: #[EB.LD.OFS|OPEN!] Err(0xE) <"boot\\System\\Library\\KernelCollections\\BootKernelExtensions.kc.development">
05:182 00:002 AAPL: #[EB.LD.LKC|R.2] <"boot\System\Library\KernelCollections\BootKernelExtensions.kc">
05:184 00:002 AAPL: #[EB.LD.LF|IN] 0 1 <"boot\\System\\Library\\KernelCollections\\BootKernelExtensions.kc"> <"0">
06:322 01:137 AAPL: #[EB|SB:P] 0x1
06:324 00:002 AAPL: #[EB|SB:SBGMFNS] j137ap.im4m
06:326 00:002 AAPL: #[EB|SB:MF] boot\\System\\Library\\KernelCollections\\BootKernelExtensions.kc.j137ap.im4m
06:328 00:002 AAPL: #[EB.LD.LF|IN] 0 1 <"boot\\System\\Library\\KernelCollections\\BootKernelExtensions.kc.j137ap.im4m"> <"0">
06:572 00:244 AAPL: #[EB|SB:MKRN]
06:583 00:010 AAPL: #[EB.LD.LKFS|-?] Ok(0)
06:585 00:001 AAPL: #[EB.LD.LKC|-?] Ok(0)
06:589 00:004 AAPL: #[EB|FWFM] 0x00000000FF9FFF3F
06:591 00:001 AAPL: #[EB|FWFT] 0x00000000FD8FF53E
06:592 00:001 AAPL: #[EB|BST:REV1]
06:594 00:001 AAPL: #[EB|CSR:OUT] 0x00000040
06:596 00:001 AAPL: #[EB.BST.FBS|+]
06:598 00:001 AAPL: #[EB.BST.FBS|ADSZ] 0
06:600 00:001 AAPL: #[EB.BST.FBS|KSSZ] 0
06:601 00:001 AAPL: #[EB|SB:SBGMFNS] j137ap.im4m
06:603 00:001 AAPL: #[EB|RH:PF] usr\standalone\OS.dmg.root_hash
06:605 00:001 AAPL: #[EB|RH:MF] <"usr\\standalone\\OS.dmg.root_hash.j137ap.im4m">
06:607 00:001 AAPL: #[EB.LD.LF|IN] 0 1 <"usr\\standalone\\OS.dmg.root_hash"> <"0">
06:609 00:002 AAPL: #[EB.LD.LF|IN] 0 1 <"usr\\standalone\\OS.dmg.root_hash.j137ap.im4m"> <"0">
06:611 00:002 AAPL: #[EB.BST.FBS|RHPSZ] 229
06:613 00:001 AAPL: #[EB.BST.FBS|RHMSZ] 3626
06:615 00:001 AAPL: #[EB.B.WFDW|!WF] Err(0xE) 0
06:617 00:001 AAPL: #[EB|LOG:DT] 2021-04-06T00:44:57
06:619 00:002 AAPL: #[EB|LOG:EXITBS:START] 2021-04-06T00:44:57
