00:000 00:000 AAPL: #[EB|LOG:INIT] 2021-04-05T22:14:08
00:249 00:002 AAPL: #[EB.WL.PWLFRTC|NONE]
00:252 00:002 AAPL: #[EB.WL.DT|!] Err(0xE) <- EB.WL.PWLFRTC
00:255 00:003 AAPL: #[EB.LD.LKC|D] <"boot\System\Library\KernelCollections\BootKernelExtensions.kc.development">
00:259 00:003 AAPL: #[EB.LD.LF|IN] 0 1 <"boot\\System\\Library\\KernelCollections\\BootKernelExtensions.kc.development"> <"0">
00:262 00:003 AAPL: #[EB.LD.OFS|OPEN!] Err(0xE) <"boot\\System\\Library\\KernelCollections\\BootKernelExtensions.kc.development">
00:265 00:003 AAPL: #[EB.LD.LKC|R.2] <"boot\System\Library\KernelCollections\BootKernelExtensions.kc">
00:270 00:004 AAPL: #[EB.LD.LF|IN] 0 1 <"boot\\System\\Library\\KernelCollections\\BootKernelExtensions.kc"> <"0">
01:409 01:139 AAPL: #[EB|SB:P] 0x1
01:413 00:003 AAPL: #[EB|SB:SBGMFNS] j137ap.im4m
01:416 00:003 AAPL: #[EB|SB:MF] boot\\System\\Library\\KernelCollections\\BootKernelExtensions.kc.j137ap.im4m
01:419 00:003 AAPL: #[EB.LD.LF|IN] 0 1 <"boot\\System\\Library\\KernelCollections\\BootKernelExtensions.kc.j137ap.im4m"> <"0">
01:664 00:245 AAPL: #[EB|SB:MKRN]
01:676 00:011 AAPL: #[EB.LD.LKFS|-?] Ok(0)
01:679 00:002 AAPL: #[EB.LD.LKC|-?] Ok(0)
01:684 00:005 AAPL: #[EB|FWFM] 0x00000000FF9FFF3F
01:687 00:002 AAPL: #[EB|FWFT] 0x00000000FD8FF53E
01:689 00:002 AAPL: #[EB|BST:REV1]
01:692 00:002 AAPL: #[EB|CSR:OUT] 0x00000040
01:695 00:002 AAPL: #[EB.BST.FBS|+]
01:698 00:002 AAPL: #[EB.BST.FBS|ADSZ] 0
01:701 00:002 AAPL: #[EB.BST.FBS|KSSZ] 0
01:703 00:002 AAPL: #[EB|SB:SBGMFNS] j137ap.im4m
01:706 00:002 AAPL: #[EB|RH:PF] usr\standalone\OS.dmg.root_hash
01:709 00:002 AAPL: #[EB|RH:MF] <"usr\\standalone\\OS.dmg.root_hash.j137ap.im4m">
01:712 00:002 AAPL: #[EB.LD.LF|IN] 0 1 <"usr\\standalone\\OS.dmg.root_hash"> <"0">
01:716 00:003 AAPL: #[EB.LD.LF|IN] 0 1 <"usr\\standalone\\OS.dmg.root_hash.j137ap.im4m"> <"0">
01:719 00:003 AAPL: #[EB.BST.FBS|RHPSZ] 229
01:724 00:005 AAPL: #[EB.BST.FBS|RHMSZ] 3626
01:727 00:002 AAPL: #[EB.B.WFDW|!WF] Err(0xE) 0
01:730 00:002 AAPL: #[EB|LOG:DT] 2021-04-05T22:14:10
01:733 00:003 AAPL: #[EB|LOG:EXITBS:START] 2021-04-05T22:14:10
